4 31.68 0.1 0.1
3.8 31.41 0.1 0.1
3.6 31.12 0.1 0.1
3.4 30.98 0.1 0.1
3.2 30.82 0.1 0.1
3 30.69 0.1 0.1
2.9	30.53	0.1	0.1
2.8	30.39	0.09	0.1
2.7	29.93	0.09	0.1
2.6	29.81	0.09	0.1
2.5	29.65	0.09	0.1
2.4	29.46	0.09	0.1
2.3	29.3	0.09	0.1
2.2	29.11	0.09	0.1
2.1	28.92	0.08	0.1
2	28.72	0.08	0.1
1.9	28.49	0.08	0.1
1.8	28.14	0.07	0.09
1.7	27.91	0.07	0.09
1.6	27.63	0.07	0.09
1.5	27.21	0.07	0.09
1.4	26.6	0.06	0.09
1.3	25.85	0.06	0.09
1.2	24.76	0.06	0.08
1.1	23.5	0.06	0.08
1	22.4	0.04	0.08
0.92	20.96	0.04	0.07
0.84	19.09	0.04	0.07
0.76	17.15	0.03	0.06
0.68	15.12	0.03	0.06
0.6	12.95	0.03	0.05
0.56	12.04	0.02	0.05
0.52	11.05	0.02	0.04
0.48	10.04	0.01	0.04
0.44	9.06	0.01	0.04
0.4	8.04	0.01	0.03
0.36	7.15	0.01	0.03
0.32	6.18	0.01	0.03
0.28	5.18	0.01	0.03
0.24	4.22	0.01	0.02
0.2	3.33	0.008	0.02
0.18	2.88	0.007	0.01
0.16	2.44	0.007	0.01
0.14	2.06	0.006	0.01
0.12	1.65	0.006	0.01
0.1	1.26	0.006	0.01
0.08	0.87	0.005	0.01
0.06	0.53	0.005	0.01
0.05	0.37	0.005	0.01
